TaskDifficulty,TaskRating,PlannedTime,RealTime,Engagement,TasksPerPeriod,Label
3.0,4.0,6.0,11.99,0.74,4,2.32
1.0,5.0,6.0,14.88,0.83,5,2.0
1.0,5.0,3.0,8.62,0.88,5,1.99
2.0,5.0,8.0,14.48,0.88,6,2.35
1.0,4.0,1.0,2.06,0.79,3,1.72
4.0,5.0,4.0,6.12,0.95,5,2.99
4.0,5.0,3.0,4.16,0.91,2,3.01
4.0,5.0,6.0,3.74,0.88,1,3.27
2.0,5.0,7.0,2.97,0.53,1,2.86
1.0,5.0,8.0,9.71,0.5,7,2.1
4.0,5.0,1.0,11.94,0.61,2,2.79
2.0,4.0,7.0,9.1,0.83,4,2.11
4.0,4.0,5.0,3.06,0.71,5,2.96
4.0,5.0,7.0,12.36,0.7,7,2.94
3.0,5.0,5.0,9.9,0.94,2,2.65
1.0,5.0,5.0,6.43,0.95,6,2.13
2.0,5.0,6.0,10.44,0.95,1,2.37
3.0,4.0,5.0,4.64,0.66,7,2.49
2.0,4.0,2.0,5.83,0.85,9,1.99
1.0,5.0,4.0,13.84,0.64,5,1.95
2.0,5.0,4.0,5.07,0.6,5,2.4
4.0,4.0,6.0,7.58,0.59,4,2.7
2.0,5.0,2.0,13.46,0.67,3,2.21
2.0,4.0,7.0,10.91,0.71,9,2.06
1.0,5.0,3.0,1.87,0.92,5,2.37
2.0,4.0,7.0,3.06,0.56,8,2.54
4.0,5.0,8.0,1.11,0.87,9,4.95
1.0,4.0,3.0,9.83,0.77,5,1.67
2.0,5.0,5.0,7.27,0.64,9,2.37
3.0,4.0,1.0,2.88,0.75,2,2.28
3.0,4.0,3.0,14.41,0.65,9,2.23
2.0,4.0,1.0,8.42,0.8,4,1.92
3.0,5.0,4.0,4.39,0.72,6,2.75
2.0,5.0,1.0,8.01,0.58,6,2.2
1.0,4.0,4.0,10.51,0.56,6,1.67
3.0,5.0,2.0,2.07,0.77,2,2.77
3.0,5.0,2.0,4.85,0.95,7,2.62
3.0,5.0,6.0,12.3,0.67,6,2.61
4.0,4.0,6.0,7.44,0.87,1,2.73
2.0,5.0,5.0,8.65,0.83,2,2.36
2.0,4.0,3.0,7.06,0.97,7,2.02
3.0,4.0,5.0,1.61,0.91,1,3.12
2.0,5.0,4.0,3.32,0.78,1,2.54
3.0,4.0,5.0,7.24,0.83,1,2.39
3.0,5.0,1.0,3.93,0.95,8,2.57
3.0,5.0,4.0,1.7,0.7,4,3.18
2.0,5.0,6.0,12.81,0.66,4,2.31
2.0,5.0,2.0,14.74,0.51,2,2.19
1.0,4.0,6.0,12.1,0.91,1,1.74
2.0,4.0,3.0,12.95,0.9,9,1.96
1.0,5.0,4.0,4.39,0.55,7,2.13
2.0,4.0,4.0,14.45,0.79,4,1.96
2.0,4.0,1.0,3.76,0.73,6,1.95
1.0,4.0,3.0,14.32,0.56,2,1.62
2.0,4.0,2.0,14.93,0.99,7,1.94
1.0,4.0,7.0,10.96,0.61,2,1.75
1.0,4.0,4.0,14.74,0.53,8,1.63
3.0,5.0,4.0,8.97,0.8,8,2.61
2.0,5.0,1.0,4.63,0.87,1,2.25
1.0,5.0,5.0,7.12,0.52,8,2.06
2.0,4.0,8.0,9.31,0.83,2,2.14
3.0,4.0,2.0,2.02,0.77,6,2.47
1.0,4.0,6.0,9.71,0.55,1,1.74
2.0,5.0,3.0,14.74,0.59,5,2.22
1.0,5.0,4.0,3.66,0.78,7,2.21
1.0,4.0,4.0,12.1,0.65,1,1.66
2.0,5.0,6.0,13.71,0.97,2,2.33
2.0,4.0,2.0,14.21,0.91,7,1.93
2.0,5.0,8.0,14.44,0.99,6,2.37
3.0,5.0,5.0,8.3,0.63,3,2.64
4.0,5.0,4.0,14.68,0.98,2,2.88
2.0,5.0,8.0,11.6,0.72,4,2.38
2.0,5.0,2.0,3.26,0.67,3,2.35
3.0,4.0,6.0,7.68,0.53,7,2.39
1.0,5.0,1.0,11.06,0.53,8,1.88
2.0,4.0,5.0,4.46,0.85,2,2.22
1.0,5.0,3.0,9.97,0.73,7,1.96
1.0,5.0,4.0,10.33,0.61,8,1.98
4.0,5.0,2.0,3.28,0.81,6,2.96
3.0,5.0,1.0,8.91,0.63,6,2.5
2.0,5.0,3.0,11.8,0.79,1,2.26
2.0,5.0,7.0,7.98,0.68,4,2.43
1.0,5.0,2.0,1.17,0.91,1,2.4
1.0,4.0,2.0,1.13,0.91,4,2.12
1.0,4.0,3.0,6.0,0.74,2,1.72
2.0,4.0,1.0,13.97,0.68,5,1.89
3.0,4.0,7.0,4.2,0.68,9,2.67
2.0,5.0,8.0,9.88,0.9,3,2.43
1.0,4.0,8.0,4.11,0.66,8,2.15
4.0,5.0,6.0,5.5,0.6,3,3.09
3.0,4.0,1.0,12.87,0.54,6,2.18
2.0,4.0,5.0,11.2,0.73,4,2.01
2.0,5.0,4.0,2.34,0.74,8,2.69
2.0,5.0,3.0,7.0,0.92,6,2.32
1.0,5.0,6.0,1.41,0.61,8,3.14
2.0,5.0,7.0,7.73,0.69,1,2.44
3.0,5.0,3.0,10.27,0.9,6,2.58
1.0,4.0,3.0,2.66,0.91,1,1.93
1.0,5.0,1.0,5.04,0.69,1,1.93
1.0,5.0,4.0,6.57,0.73,8,2.06
1.0,5.0,5.0,13.87,0.65,7,1.97
3.0,4.0,8.0,14.91,0.97,3,2.36
3.0,5.0,2.0,1.63,0.56,6,2.82
2.0,4.0,2.0,11.65,0.97,9,1.95
1.0,4.0,3.0,6.2,0.84,7,1.73
2.0,4.0,8.0,6.49,0.77,3,2.25
2.0,5.0,8.0,11.56,0.52,6,2.36
1.0,5.0,4.0,13.86,0.74,4,1.96
2.0,5.0,7.0,14.31,0.7,3,2.32
2.0,5.0,7.0,9.08,0.58,9,2.39
2.0,5.0,6.0,6.0,0.83,2,2.48
2.0,4.0,1.0,12.03,0.99,1,1.92
1.0,4.0,4.0,4.51,0.78,2,1.84
2.0,5.0,4.0,8.9,0.86,7,2.32
2.0,4.0,1.0,6.02,0.53,1,1.9
2.0,5.0,8.0,10.19,0.71,6,2.41
3.0,5.0,7.0,4.37,0.56,7,2.94
2.0,5.0,7.0,3.68,0.81,9,2.75
1.0,5.0,8.0,13.86,0.97,8,2.07
1.0,5.0,7.0,2.43,0.83,6,2.75
2.0,5.0,3.0,8.08,0.54,3,2.27
1.0,5.0,4.0,4.09,0.68,8,2.16
2.0,5.0,2.0,1.55,0.78,7,2.57
4.0,4.0,1.0,1.5,0.7,3,2.67
2.0,5.0,7.0,3.45,0.92,9,2.8
2.0,5.0,6.0,13.13,0.91,2,2.33
2.0,4.0,7.0,4.95,0.81,3,2.31
2.0,5.0,7.0,14.31,0.69,2,2.32
2.0,5.0,5.0,9.14,0.63,1,2.33
4.0,5.0,3.0,7.11,0.55,4,2.88
2.0,4.0,1.0,9.12,0.68,5,1.9
4.0,5.0,5.0,8.23,0.71,6,2.95
4.0,5.0,5.0,11.62,0.84,5,2.91
1.0,4.0,6.0,4.95,0.83,1,1.95
1.0,4.0,4.0,5.94,0.54,3,1.76
1.0,5.0,6.0,13.52,0.7,1,2.0
1.0,4.0,4.0,14.25,0.59,5,1.64
1.0,5.0,4.0,13.5,0.58,5,1.95
2.0,5.0,1.0,6.87,0.91,6,2.23
1.0,4.0,7.0,11.93,0.52,8,1.73
2.0,5.0,1.0,7.67,0.71,1,2.21
3.0,5.0,3.0,7.97,0.58,4,2.57
1.0,5.0,4.0,3.87,0.94,1,2.2
3.0,4.0,5.0,9.28,0.78,9,2.34
1.0,5.0,7.0,3.61,0.62,7,2.44
1.0,4.0,2.0,5.64,0.75,7,1.68
2.0,4.0,3.0,12.97,0.87,5,1.96
2.0,5.0,1.0,3.9,0.98,7,2.27
3.0,4.0,6.0,2.0,0.61,2,3.06
3.0,5.0,3.0,1.97,0.94,4,2.95
3.0,4.0,3.0,14.17,0.97,7,2.26
1.0,5.0,7.0,8.1,0.96,3,2.16
1.0,4.0,3.0,6.73,0.82,2,1.72
3.0,5.0,3.0,12.35,0.81,2,2.55
3.0,5.0,2.0,12.7,0.7,1,2.52
4.0,4.0,8.0,5.65,0.88,5,2.91
2.0,4.0,6.0,10.71,0.77,6,2.05
2.0,4.0,6.0,11.8,0.84,6,2.04
3.0,5.0,6.0,10.17,0.71,9,2.65
2.0,4.0,4.0,3.12,0.87,4,2.27
4.0,5.0,5.0,13.26,0.91,1,2.9
3.0,5.0,8.0,8.55,0.57,6,2.74
2.0,4.0,6.0,4.95,0.92,5,2.26
3.0,5.0,3.0,6.95,0.77,6,2.61
3.0,5.0,3.0,1.53,0.92,3,3.08
1.0,4.0,6.0,2.79,0.72,2,2.22
4.0,4.0,7.0,11.72,0.69,6,2.65
2.0,4.0,6.0,1.0,0.96,1,3.7
3.0,5.0,3.0,6.83,0.63,7,2.59
2.0,5.0,4.0,8.32,0.92,7,2.34
3.0,5.0,1.0,1.76,0.74,7,2.64
2.0,5.0,1.0,14.62,0.76,1,2.2
1.0,5.0,8.0,4.17,0.65,4,2.44
4.0,5.0,8.0,5.26,0.79,7,3.24
1.0,5.0,6.0,5.26,0.66,9,2.21
2.0,4.0,2.0,4.23,0.52,5,1.99
4.0,4.0,6.0,1.02,0.64,2,4.23
4.0,4.0,7.0,11.21,0.5,7,2.64
2.0,4.0,6.0,14.54,0.99,1,2.02
2.0,5.0,8.0,4.14,0.98,7,2.78
2.0,5.0,1.0,10.28,0.7,6,2.2
1.0,4.0,3.0,11.39,0.86,7,1.67
2.0,4.0,6.0,12.88,0.67,3,2.01
2.0,5.0,3.0,6.92,0.84,3,2.31
3.0,5.0,3.0,5.24,0.9,7,2.66
3.0,4.0,2.0,5.55,0.97,2,2.31
3.0,5.0,3.0,10.98,0.7,1,2.55
1.0,4.0,1.0,12.43,0.89,9,1.61
2.0,4.0,4.0,3.54,0.63,9,2.2
1.0,5.0,4.0,6.19,1.0,7,2.09
2.0,5.0,5.0,13.63,0.51,7,2.26
2.0,4.0,7.0,12.29,0.8,3,2.05
3.0,5.0,6.0,14.79,0.83,2,2.6
2.0,5.0,7.0,11.56,0.84,7,2.37
1.0,5.0,1.0,6.5,0.56,9,1.9
1.0,5.0,3.0,9.27,0.97,1,1.99
3.0,5.0,4.0,10.25,0.59,4,2.58
2.0,5.0,7.0,2.1,0.81,6,3.18
1.0,5.0,1.0,8.62,0.61,7,1.9
1.0,4.0,4.0,10.93,0.65,7,1.67
3.0,4.0,3.0,3.34,0.77,2,2.45
1.0,4.0,7.0,11.93,0.71,4,1.75
3.0,5.0,4.0,9.17,0.58,5,2.59
3.0,4.0,6.0,14.33,0.59,1,2.28
1.0,5.0,8.0,1.59,0.71,1,3.38
1.0,5.0,6.0,4.71,0.88,3,2.27
4.0,4.0,5.0,9.42,0.95,3,2.65
2.0,5.0,5.0,5.15,0.54,8,2.45
2.0,5.0,4.0,11.0,0.7,9,2.28
3.0,5.0,8.0,11.63,0.55,1,2.66
4.0,4.0,1.0,2.44,0.51,2,2.57
4.0,5.0,6.0,8.19,0.83,2,3.0
3.0,5.0,1.0,8.12,0.8,4,2.52
2.0,5.0,8.0,6.17,0.58,2,2.55
1.0,5.0,1.0,14.06,0.62,7,1.88
3.0,5.0,8.0,12.59,0.51,9,2.64
2.0,5.0,4.0,10.76,0.92,7,2.3
2.0,5.0,1.0,11.0,0.99,6,2.23
4.0,5.0,6.0,7.46,0.57,1,3.0
1.0,4.0,3.0,13.89,0.62,9,1.63
2.0,5.0,5.0,10.72,0.93,5,2.33
1.0,5.0,3.0,11.21,0.96,5,1.98
2.0,5.0,1.0,13.06,0.71,6,2.19
1.0,4.0,3.0,4.84,0.53,9,1.74
1.0,5.0,6.0,12.3,0.52,8,2.0
1.0,4.0,6.0,3.73,0.79,8,2.06
2.0,5.0,1.0,5.83,0.7,8,2.22
3.0,4.0,4.0,5.7,0.51,1,2.36
2.0,5.0,3.0,14.7,0.79,1,2.24
4.0,5.0,4.0,12.99,0.51,8,2.84
2.0,4.0,4.0,10.82,0.89,5,2.0
1.0,5.0,8.0,11.18,0.65,9,2.08
3.0,5.0,2.0,8.87,0.52,2,2.52
1.0,5.0,1.0,14.26,0.79,9,1.9
4.0,5.0,5.0,7.95,0.7,8,2.96
1.0,5.0,6.0,6.33,0.99,9,2.18
4.0,5.0,6.0,3.28,0.77,4,3.33
1.0,5.0,1.0,12.01,0.64,1,1.89
3.0,5.0,8.0,11.28,0.85,1,2.7
2.0,4.0,7.0,6.38,0.64,5,2.19
4.0,5.0,7.0,1.35,0.95,2,4.35
1.0,5.0,7.0,12.75,0.69,8,2.03
2.0,5.0,8.0,1.16,0.77,5,4.25
4.0,5.0,5.0,10.85,0.53,5,2.89
2.0,5.0,6.0,14.58,0.71,2,2.29
2.0,5.0,1.0,7.13,0.92,7,2.23
2.0,4.0,8.0,4.29,0.9,8,2.45
2.0,5.0,6.0,10.87,0.61,1,2.33
2.0,4.0,4.0,12.44,0.61,2,1.96
2.0,4.0,3.0,8.65,0.91,4,2.0
4.0,4.0,3.0,14.54,0.97,5,2.56
1.0,4.0,8.0,1.72,0.55,2,2.95
1.0,5.0,6.0,8.07,0.73,1,2.1
4.0,4.0,2.0,11.06,0.67,9,2.52
3.0,5.0,5.0,13.08,0.94,1,2.61
2.0,4.0,7.0,3.51,0.54,4,2.45
2.0,4.0,5.0,12.2,0.61,2,1.98
1.0,4.0,5.0,8.74,0.88,4,1.76
1.0,4.0,8.0,6.55,0.53,8,1.92
2.0,5.0,4.0,2.84,0.75,8,2.6
2.0,5.0,5.0,13.11,0.72,9,2.29
2.0,5.0,3.0,3.2,0.67,5,2.45
1.0,5.0,4.0,5.34,0.7,7,2.09
4.0,4.0,1.0,5.06,0.76,3,2.54
4.0,5.0,5.0,13.2,0.58,4,2.87
2.0,5.0,5.0,10.42,0.79,9,2.32
2.0,5.0,1.0,12.15,0.9,1,2.21
2.0,4.0,5.0,4.51,0.88,2,2.22
3.0,4.0,1.0,9.75,0.58,5,2.19
2.0,4.0,4.0,9.0,0.57,3,1.99
1.0,4.0,3.0,12.66,0.63,2,1.63
4.0,5.0,1.0,13.69,0.68,1,2.79
3.0,5.0,2.0,1.17,0.7,3,2.98
4.0,5.0,8.0,10.44,0.84,1,3.01
3.0,5.0,8.0,1.73,0.53,1,3.84
2.0,5.0,1.0,8.68,0.52,1,2.19
2.0,5.0,8.0,5.03,0.7,8,2.65
4.0,5.0,5.0,5.29,0.85,3,3.07
3.0,4.0,7.0,5.94,0.6,1,2.51
1.0,4.0,7.0,9.7,0.82,7,1.8
1.0,4.0,8.0,5.68,0.63,3,1.99
2.0,5.0,4.0,11.26,0.94,8,2.3
3.0,5.0,6.0,6.66,0.95,4,2.77
4.0,4.0,4.0,1.96,0.65,4,3.08
1.0,5.0,6.0,11.97,0.61,5,2.01
2.0,4.0,7.0,5.0,0.71,6,2.29
2.0,5.0,7.0,7.06,0.62,7,2.46
4.0,4.0,1.0,10.6,0.84,4,2.51
3.0,4.0,3.0,5.65,0.91,8,2.35
3.0,5.0,2.0,1.79,0.84,6,2.82
2.0,4.0,4.0,6.23,0.91,1,2.08
2.0,4.0,5.0,14.22,0.7,1,1.98
1.0,4.0,6.0,9.98,0.58,9,1.74
1.0,5.0,8.0,10.4,0.87,6,2.12
3.0,5.0,5.0,9.85,0.68,8,2.62
3.0,4.0,3.0,3.79,0.84,7,2.42
4.0,5.0,6.0,6.86,0.64,6,3.03
4.0,5.0,4.0,11.51,0.54,4,2.86
2.0,4.0,1.0,2.42,1.0,7,2.02
3.0,5.0,5.0,4.89,0.58,9,2.76
